PR Number,Review Number,Time to Review (hours)
45,1,0.05444444444444444
45,2,0.6191666666666666
44,1,2.2683333333333335
44,2,2.5797222222222222
35,1,8.233888888888888
35,2,38.32194444444445
28,1,0.6180555555555556
28,2,11.329722222222221
26,1,0.20527777777777778
26,2,1.0444444444444445
25,1,0.03361111111111111
25,2,0.1461111111111111
23,1,0.17
23,2,0.6627777777777778
22,1,0.25527777777777777
22,2,0.9013888888888889
21,1,0.7327777777777778
21,2,1.396388888888889
19,1,1.118611111111111
19,2,1.4
19,3,3.477777777777778
19,4,4.328055555555555
18,1,0.15805555555555556
18,2,0.23916666666666667
15,1,0.08972222222222222
15,2,0.09444444444444444
15,3,0.29888888888888887
14,1,0.12638888888888888
14,2,0.5886111111111111
14,3,0.6061111111111112
